idProvincia;nombre
NULL;Buenos Aires
NULL;Catamarca
NULL;Chaco
NULL;Chubut
NULL;Córdoba
NULL;Corrientes
NULL;Entre Ríos
NULL;Formosa
NULL;Jujuy
NULL;La Pampa
NULL;La Rioja
NULL;Mendoza
NULL;Misiones
NULL;Neuquén
NULL;Río Negro
NULL;Salta
NULL;San Juan
NULL;San Luis
NULL;Santa Cruz
NULL;Santa Fe
NULL;Santiago del Estero
NULL;Tierra del Fuego
NULL;Tucumán
